"Timestamp","Gender","Age","Ethnicity","Region","Level of Education","Field of Study","Which color do you bet on?","Why did you bet on that?","What is the MOST that you would be willing to pay for each ticket?","Flip 1 of 20","Flip 2 of 20","Flip 3 of 20","Flip 4 of 20","Flip 5 of 20","Flip 6 of 20","Flip 7 of 20","Flip 8 of 20","Flip 9 of 20","Flip 10 of 20","Flip 11 of 20","Flip 12 of 20","Flip 13 of 20","Flip 14 of 20","Flip 15 of 20","Flip 16 of 20","Flip 17 of 20","Flip 18 of 20","Flip 19 of 20","Flip 20 of 20","How do you call it? Heads or Tails?","What's the most you'd be willing to spend to play?","What percent chance do you believe the next flip will land on heads?","How do you believe this coin is weighted in terms of percent?"
"2013/04/24 12:17:53 AM EST","Male","26-35","Asian","Southeast Asia","High School or GED","","Black","Black hasn't come up in a while","$55","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Heads","Heads","More than $100","100%","80% biased towards tails"
"2013/04/24 12:19:55 AM EST","Female","18-25","White / Caucasian","North America","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$5","Heads","Heads","Heads","Tails","Tails","Tails","Heads","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","$5","65%","65% biased towards heads"
"2013/04/24 12:20:16 AM EST","Female","36-45","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","Other","Red","Red is the current trend","$20","Heads","Tails","Heads","Tails","Heads","Tails","Tails","Tails","Tails","Tails","Heads","Heads","Heads","Heads","Heads","Heads","Tails","Heads","Tails","Tails","Tails","$20","50%","50% tails, 50% heads"
"2013/04/24 12:20:43 AM EST","Female","56-65","White / Caucasian","North America","High School or GED","","Red","Red is the current trend","$5","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Tails","Heads","$0","55%","55% biased towards heads"
"2013/04/24 12:21:45 AM EST","Male","18-25","Asian","Southwest Asia (Indian Subcontinent)","Some College","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$0","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","$5","100%","100% biased towards heads"
"2013/04/24 12:22:00 AM EST","Female","18-25","American Indian / Native American","Southeast Asia","Associates Degree and/or Technical Certifications","","Black","Red is the current trend","$20","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Heads","$30","100%","85% biased towards tails"
"2013/04/24 12:23:30 AM EST","Female","36-45","Asian","North Asia","Associates Degree and/or Technical Certifications","","Black","Black hasn't come up in a while","$5","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Heads","Heads","Heads","Heads","Tails","Tails","Tails","$5","50%","50% tails, 50% heads"
"2013/04/24 12:24:12 AM EST","Female","18-25","White / Caucasian","North America","Bachelors Degree","Other","Red","Red is the current trend","$5","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Tails","Heads","Heads","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Heads","$5","50%","50% tails, 50% heads"
"2013/04/24 12:24:43 AM EST","Male","36-45","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$50","Tails","Tails","Tails","Heads","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Heads","Tails","Heads","Tails","Tails","Heads","Heads","Tails","Tails","$15","45%","50% tails, 50% heads"
"2013/04/24 12:26:47 AM EST","Male","36-45","White / Caucasian","Eastern Europe (includes Russia east of Urals)","Associates Degree and/or Technical Certifications","","Black","I bet randomly","$25","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Heads","$20","80%","65% biased towards heads"
"2013/04/24 12:28:20 AM EST","Female","26-35","White / Caucasian","Southern Europe","Masters Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$20","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Tails","Tails","Heads","Tails","$10","50%","50% tails, 50% heads"
"2013/04/24 12:29:24 AM EST","Female","26-35","Asian","Southwest Asia (Indian Subcontinent)","Masters Degree","STEM (Science, Technology, Engineering, Math)","Black","I bet randomly","$5","Heads","Heads","Tails","Heads","Tails","Tails","Tails","Tails","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Heads","$5","70%","65% biased towards heads"
"2013/04/24 12:29:38 AM EST","Female","26-35","Asian","Southeast Asia","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$0","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","$0","95%","80% biased towards heads"
"2013/04/24 12:29:57 AM EST","Female","26-35","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","Other","Black","I don't know or I don't care","More than $100","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Tails","Heads","Heads","More than $100","95%","95% biased towards tails"
"2013/04/24 12:31:36 AM EST","Male","36-45","White / Caucasian","Southern Europe","Masters Degree","STEM (Science, Technology, Engineering, Math)","Black","Black hasn't come up in a while","$30","Tails","Heads","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Heads","Tails","Heads","Tails","Tails","Heads","Heads","Tails","Heads","Heads","Tails","$30","70%","70% biased towards heads"
"2013/04/24 12:33:37 AM EST","Female","18-25","East Indian / Asian Subcontinent","East Asia","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Black","I bet randomly","More than $100","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Tails","Heads","Tails","Heads","Heads","Heads","More than $100","100%","100% biased towards heads"
"2013/04/24 12:33:49 AM EST","Male","18-25","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$10","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Tails","Heads","$10","75%","75% biased towards tails"
"2013/04/24 12:37:23 AM EST","Male","26-35","Asian","Southeast Asia","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Black","I bet randomly","$50","Tails","Tails","Tails","Heads","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Tails","Heads","Heads","Heads","$10","90%","70% biased towards tails"
"2013/04/24 12:38:05 AM EST","Male","26-35","Asian","Southeast Asia","Bachelors Degree","Other","Red","Red is the current trend","$50","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Heads","$50","100%","100% biased towards heads"
"2013/04/24 12:38:10 AM EST","Female","18-25","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","Black hasn't come up in a while","$10","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Heads","Tails","Heads","$5","90%","50% tails, 50% heads"
"2013/04/24 12:38:59 AM EST","Male","18-25","Asian","Southeast Asia","Masters Degree","STEM (Science, Technology, Engineering, Math)","Red","Black hasn't come up in a while","$80","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Tails","$10","50%","50% tails, 50% heads"
"2013/04/24 12:39:36 AM EST","Female","26-35","Asian","Southwest Asia (Indian Subcontinent)","Masters Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$5","Heads","Heads","Tails","Heads","Tails","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Heads","$5","100%","100% biased towards heads"
"2013/04/24 12:41:12 AM EST","Female","26-35","East Indian / Asian Subcontinent","Southwest Asia (Indian Subcontinent)","Bachelors Degree","Other","Black","I bet randomly","$10","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Heads","Heads","Heads","$10","65%","55% biased towards heads"
"2013/04/24 12:41:14 AM EST","Male","26-35","Asian","Southwest Asia (Indian Subcontinent)","Some College","STEM (Science, Technology, Engineering, Math)","Black","I bet randomly","$5","Tails","Heads","Heads","Tails","Tails","Heads","Tails","Tails","Heads","Heads","Heads","Tails","Tails","Heads","Heads","Heads","Tails","Tails","Tails","Heads","Heads","$5","80%","55% biased towards heads"
"2013/04/24 12:44:34 AM EST","Male","18-25","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Black","I don't know or I don't care","$20","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Heads","Heads","$65","50%","50% tails, 50% heads"
"2013/04/24 12:49:25 AM EST","Male","26-35","Asian","East Asia","Masters Degree","STEM (Science, Technology, Engineering, Math)","Black","I bet randomly","$100","Heads","Heads","Heads","Heads","Heads","Tails","Tails","Tails","Tails","Tails","Heads","Heads","Heads","Heads","Heads","Tails","Tails","Tails","Tails","Tails","Heads","$100","50%","50% tails, 50% heads"
"2013/04/24 12:49:40 AM EST","Female","18-25","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","I bet randomly","$5","Heads","Heads","Heads","Heads","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Tails","Tails","Tails","Tails","Tails","Heads","Tails","Heads","Tails","Heads","$5","100%","50% tails, 50% heads"
"2013/04/24 12:50:38 AM EST","Male","18-25","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","I bet randomly","$0","Heads","Tails","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","$0","90%","80% biased towards heads"
"2013/04/24 12:51:08 AM EST","Male","18-25","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","I bet randomly","$5","Tails","Tails","Heads","Tails","Tails","Tails","Heads","Heads","Tails","Tails","Tails","Heads","Tails","Tails","Tails","Tails","Heads","Heads","Tails","Tails","Tails","$10","100%","50% tails, 50% heads"
"2013/04/24 1:00:33 AM EST","Male","18-25","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Black","I don't know or I don't care","$0","Heads","Heads","Heads","Heads","Tails","Tails","Heads","Heads","Tails","Tails","Tails","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","$5","50%","50% tails, 50% heads"
"2013/04/24 1:04:11 AM EST","Male","26-35","Asian","Southeast Asia","Masters Degree","Medicine","Red","I bet randomly","$35","Heads","Tails","Heads","Tails","Tails","Tails","Heads","Heads","Heads","Heads","Tails","Heads","Tails","Tails","Heads","Heads","Tails","Tails","Heads","Tails","Heads","$50","75%","80% biased towards tails"
"2013/04/24 1:04:42 AM EST","Male","26-35","East Indian / Asian Subcontinent","Southwest Asia (Indian Subcontinent)","Masters Degree","STEM (Science, Technology, Engineering, Math)","Red","I bet randomly","$10","Heads","Heads","Tails","Tails","Heads","Tails","Tails","Tails","Heads","Heads","Tails","Tails","Tails","Heads","Tails","Tails","Tails","Tails","Tails","Tails","Tails","$10","50%","60% biased towards heads"
"2013/04/24 1:05:04 AM EST","Male","18-25","Asian","North Asia","Masters Degree","STEM (Science, Technology, Engineering, Math)","Black","Black hasn't come up in a while","$25","Heads","Heads","Tails","Heads","Tails","Tails","Heads","Tails","Tails","Tails","Heads","Heads","Tails","Tails","Heads","Tails","Tails","Heads","Tails","Heads","Heads","$40","80%","65% biased towards tails"
"2013/04/24 1:05:27 AM EST","Male","26-35","Asian","North Asia","Bachelors Degree","Other","Black","Black hasn't come up in a while","$0","Heads","Tails","Tails","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Tails","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Heads","Heads","$5","95%","65% biased towards heads"
"2013/04/24 1:05:54 AM EST","Female","18-25","American Indian / Native American","South America","Bachelors Degree","Social Sciences","Black","Black hasn't come up in a while","$5","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Tails","Heads","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","$5","90%","90% biased towards tails"
"2013/04/24 1:16:23 AM EST","Female","26-35","Asian","Southwest Asia (Indian Subcontinent)","Masters Degree","STEM (Science, Technology, Engineering, Math)","Red","Black hasn't come up in a while","$5","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","$5","95%","50% tails, 50% heads"
"2013/04/24 1:17:12 AM EST","Female","26-35","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","Black hasn't come up in a while","$50","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Tails","Tails","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Tails","Heads","Heads","Heads","$20","100%","90% biased towards heads"
"2013/04/24 1:21:34 AM EST","Female","26-35","Asian","Southeast Asia","Bachelors Degree","Other","Red","I don't know or I don't care","$5","Heads","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","$5","95%","95% biased towards tails"
"2013/04/24 1:21:55 AM EST","Male","18-25","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Black","I bet randomly","$15","Heads","Tails","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Tails","Heads","$20","75%","50% tails, 50% heads"
"2013/04/24 1:25:10 AM EST","Male","18-25","East Indian / Asian Subcontinent","East Asia","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Black","I don't know or I don't care","$5","Heads","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Heads","Heads","$0","100%","65% biased towards tails"
"2013/04/24 1:25:13 AM EST","Male","26-35","East Indian / Asian Subcontinent","Southwest Asia (Indian Subcontinent)","Masters Degree","Humanities / Liberal Arts","Black","I bet randomly","$10","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Heads","Tails","Tails","Heads","Heads","Heads","Heads","Heads","$10","75%","70% biased towards heads"
"2013/04/24 1:27:29 AM EST","Female","26-35","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","Other","Red","I bet randomly","$10","Heads","Tails","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Tails","Heads","Heads","Heads","$10","75%","50% tails, 50% heads"
"2013/04/24 1:34:32 AM EST","Female","36-45","Asian","Southwest Asia (Indian Subcontinent)","Masters Degree","Other","Red","Red is the current trend","$0","Heads","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Tails","Heads","Heads","Heads","Heads","Tails","Tails","Heads","Heads","Tails","Heads","$0","50%","50% tails, 50% heads"
"2013/04/24 1:35:25 AM EST","Male","36-45","Asian","Southwest Asia (Indian Subcontinent)","Associates Degree and/or Technical Certifications","","Red","Red is the current trend","$5","Heads","Heads","Tails","Heads","Tails","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Heads","$5","70%","70% biased towards heads"
"2013/04/24 1:43:07 AM EST","Male","18-25","East Indian / Asian Subcontinent","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","I bet randomly","$40","Heads","Tails","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Tails","Tails","Heads","Heads","Tails","Tails","Heads","Tails","Heads","$100","50%","50% tails, 50% heads"
"2013/04/24 1:44:26 AM EST","Female","26-35","Asian","Southwest Asia (Indian Subcontinent)","Masters Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$5","Heads","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Heads","$5","100%","50% tails, 50% heads"
"2013/04/24 1:44:49 AM EST","Female","18-25","Asian","Southwest Asia (Indian Subcontinent)","Some College","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$20","Heads","Heads","Tails","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Heads","Heads","Tails","$35","40%","70% biased towards tails"
"2013/04/24 1:45:47 AM EST","Male","36-45","White / Caucasian","North America","High School or GED","","Black","Black hasn't come up in a while","$10","Heads","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Tails","Tails","Heads","Heads","Heads","Heads","Tails","Tails","Tails","Tails","Heads","Tails","$10","50%","50% tails, 50% heads"
"2013/04/24 1:45:49 AM EST","Female","18-25","East Indian / Asian Subcontinent","Southeast Asia","Some College","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$5","Tails","Tails","Tails","Heads","Tails","Tails","Tails","Heads","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Tails","Tails","$5","55%","70% biased towards heads"
"2013/04/24 1:47:12 AM EST","Female","26-35","Asian","Central Asia (""the 'stans'"")","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$50","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","Heads","$10","65%","50% tails, 50% heads"
"2013/04/24 1:52:20 AM EST","Female","18-25","Asian","Southwest Asia (Indian Subcontinent)","Some College","Humanities / Liberal Arts","Black","I bet randomly","$5","Tails","Heads","Tails","Tails","Heads","Heads","Heads","Heads","Tails","Tails","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Tails","Heads","Heads","$5","50%","55% biased towards heads"
"2013/04/24 1:52:36 AM EST","Male","18-25","East Indian / Asian Subcontinent","Southwest Asia (Indian Subcontinent)","Less than High School or GED","","Red","Black hasn't come up in a while","$20","Heads","Heads","Heads","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Tails","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Heads","$20","55%","60% biased towards heads"
"2013/04/24 1:53:30 AM EST","Female","26-35","Asian","Southeast Asia","Some College","STEM (Science, Technology, Engineering, Math)","Black","I bet randomly","$10","Heads","Heads","Heads","Tails","Heads","Heads","Tails","Heads","Heads","Heads","Heads","Tails","Heads","Tails","Heads","Heads","Heads","Tails","Heads","Heads","Heads","$10","100%","55% biased towards heads"
"2013/04/24 1:56:47 AM EST","Male","56-65","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$50","Heads","Tails","Heads","Tails","Tails","Tails","Heads","Heads","Tails","Heads","Heads","Heads","Tails","Tails","Tails","Heads","Tails","Heads","Heads","Tails","Tails","$80","75%","65% biased towards tails"
"2013/04/24 1:59:10 AM EST","Male","56-65","Asian","Southwest Asia (Indian Subcontinent)","Bachelors Degree","STEM (Science, Technology, Engineering, Math)","Red","Red is the current trend","$60","Heads","Heads","Heads","Tails","Heads","Tails","Tails","Tails","Heads","Heads","Heads","Heads","Heads","Tails","Tails","Tails","Heads","Tails","Heads","Heads","Heads","$40","65%","65% biased towards tails"
